"rodzaj","typ"
"awuls","Awuls"
"bagna","nie dotyczy"
"bagnisko","nie dotyczy"
"bagno","nie dotyczy"
"baraki","Baraki"
"błota","nie dotyczy"
"błoto","nie dotyczy"
"bór","nie dotyczy"
"bory","nie dotyczy"
"cegielnia","Cegielnia"
"chaty","Chaty"
"chutor","Chutor"
"cmentarzysko","nie dotyczy"
"cmentarzysko przedhistoryczne","nie dotyczy"
"cypel","nie dotyczy"
"część brzegów rzeki","nie dotyczy"
"część danej miejscowości (wsi, miasta)","Część danej miejscowości (wsi, miasta)"
"część gminy","nie dotyczy"
"część liniowa","nieokreślony"
"część miejscowości", "Część danej miejscowości (wsi, miasta)"
"część wsi", "Część danej miejscowości (wsi, miasta)"
"część obszaru dworskiego","Obszar dworski"
"część włości","nieokreślony"
"czubek","nie dotyczy"
"czubek pasma górzystego","nie dotyczy"
"dobra chełmińskie","nieokreślony"
"dobra","Dobra"
"dobra koronne","Dobra koronne"
"dobra pojezuickie","Dobra pojezuickie"
"dobra prywatna","Dobra prywatne"
"dobra prywatne","Dobra prywatne"
"dobra rycerskie","Dobra rycerskie"
"dobra rządowe","nieokreślony"
"dobra skarbowe","Dobra skarbowe"
"dobra stadninowe","nieokreślony"
"dobra szlach.","Dobra szlacheckie"
"dobra szlacheckie","Dobra szlacheckie"
"dobra ziemskie","nieokreślony"
"dochód kościelny","nie dotyczy"
"dolina górska","nie dotyczy"
"dolina","nie dotyczy"
"dom","Chaty"
"domena","Dominium"
"domena fiskalna","Dominium"
"domena królewska", "Domena królewska"
"domena książęca","Dominium"
"domena skarbowa", "nieokreślony"
"dominium","Dominium"
"domy","Chaty"
"dopływ","nie dotyczy"
"dopływy","nie dotyczy"
"droga żelazna","nie dotyczy"
"dwór","Dwór"
"dwór prywatny","Dwór"
"dwór rządowy","Dwór rządowy"
"dwór szlachecki","Dwór"
"dworzysko","Dworzysko"
"dystylarnia","nieokreślony"
"dział górski","nie dotyczy"
"dzierżawa królewska","Dzierżawa królewska"
"fabryka", "nieokreślony"
"fabryka terpentyny","Fabryka (terpentyny) "
"ferma rządowa","Ferma (rządowa, skarbowa)"
"folwark fiskalny", "Folwark fiskalny"
"folwark","Folwark"
"folwark lenny", "Folwark"
"folwark majoratny", "Folwark"
"folwark probostwa", "Folwark proboszczowski"
"folwark proboszczowski","Folwark proboszczowski"
"folwark prywatny","Folwark: prywatny, rządowy, majorat"
"folwark rządowy","Folwark: prywatny, rządowy, majorat"
"folwark szlachecki","Folwark: prywatny, rządowy, majorat"
"folwark włościański", "Folwark: prywatny, rządowy, majorat"
"forteca","Forteca"
"fryszerka", "Fryszerka"
"futor","Futor (hutor, chutor)"
"futor prywatny","Futor (hutor, chutor)"
"futor szlachecki","Futor szlachecki"
"futory","Futor (hutor, chutor)"
"futor żydowski","Futor żydowski"
"gajówka","Gajówka"
"gmina","Gmina"
"gmina wiejska", "nieokreślony"
"godło","nie dotyczy"
"góra","nie dotyczy"
"góry","nie dotyczy"
"gorzelnia","Gorzelnia"
"gródek","Grodzisko"
"gród","Grodzisko"
"grupa chat","Grupa chat"
"grupa chat włościańskich","Grupa chat włościańskich"
"grupa domów","Grupa (lub grupy) domów"
"grupa etniczna","nie dotyczy"
"grupa górska","nie dotyczy"
"grupa mogił i nasypów","nie dotyczy"
"grupa zabudowań","Grupa zabudowań"
"grupa zabudowań wiejskich", "Grupa zabudowań"
"grupy zabudowań", 
"grzbiet górski","nie dotyczy"
"grzbiety górskie","nie dotyczy"
"gubernia","nie dotyczy"
"hala","nie dotyczy"
"hamernia","Hamernia miedzi"
"horodyszcze","Grodzisko"
"huta cynkowa","Huta cynkowa"
"huta","nieokreślony"
"huta szklana","Huta szklana"
"huta szklanna","Huta szklana"
"imię własne","nie dotyczy"
"inne","nie dotyczy"
"jar","nie dotyczy"
"jaz","nie dotyczy"
"jeziorko","nie dotyczy"
"jezioro","nie dotyczy"
"kamień graniczny","nie dotyczy"
"kanał","nie dotyczy"
"kanały","nie dotyczy"
"kaplica","nie dotyczy"
"karczma","Karczma"
"karczma prywatna","Karczma"
"karczma rządowa","Karczma"
"karczma szlachecka","Karczma"
"klasztor","Klasztor"
"kolonia fabryczna","Kolonia"
"kolonia","Kolonia"
"kolonia włościańska","Kolonia"
"kopalnia","Kopalnia"
"kopalnia nafty","Kopalnia"
"kopalnia węgla","Kopalnia"
"kopiec","nie dotyczy"
"kraina","nie dotyczy"
"kraj koronny","nie dotyczy"
"kraj","nie dotyczy"
"królewska domena fiskalna","domena fiskalna"
"królewskie nadleśnictwo","Nadleśnictwo"
"królewszczyzna","nieokreślony"
"książęca posiadłość","nieokreślony"
"księstwo","nie dotyczy"
"kurgan","nie dotyczy"
"kurhan","nie dotyczy"
"kurhany","nie dotyczy"
"kuźnia","Kuźnia"
"łacha","nie dotyczy"
"łąka","nie dotyczy"
"łąki","nie dotyczy"
"łan","nie dotyczy"
"łany kmiece","nie dotyczy"
"las albo pagórek","nie dotyczy"
"lasek","nie dotyczy"
"las","nie dotyczy"
"lasy","nie dotyczy"
"leśnictwo","Leśnictwo"
"leśniczówka królewska","Leśniczówka"
"leśniczówka","Leśniczówka"
"majątek chełmiński","Majątek chełmiński"
"majątek","Majętność: proboszczowska, prywatna"
"majątek prywatny","Majętność: proboszczowska, prywatna"
"majątek szlachecki","Majętność: proboszczowska, prywatna"
"majdan","Majdan"
"majętność ziemska","Majętność: proboszczowska, prywatna"
"margrabstwo","nie dotyczy"
"miasteczko górnicze","Miasteczko górnicze"
"miasteczko","Miasteczko"
"miasteczko prywatne","Miasteczko" 
"miasteczko rządowe","Miasteczko"
"miasto","Miasto"
"miejscowość","nieokreślony"
"mielizna","nie dotyczy"
"mieszkańcy","nie dotyczy"
"młyn","Młyn"
"młyn wodny","Młyn wodny"
"młyny","Młyn"
"moczar","nie dotyczy"
"moczary","nie dotyczy"
"moczarzyste pastwisko","nie dotyczy"
"mogiła","nie dotyczy"
"monaster","Monastyr"
"morze","nie dotyczy"
"nadleśnictwo królewskie","Nadleśnictwo"
"nadleśnictwo","Nadleśnictwo"
"nasyp ziemny","nie dotyczy"
"nazwa niwy","nie dotyczy"
"nieokreślony","nie dotyczy"
"niwa","nie dotyczy"
"nomenklatura","Nomenklatura"
"obręb leśny","nie dotyczy"
"część obszaru", "nieokreślony"
"obszar gminny","nieokreślony"
"obszar lesisty","nie dotyczy"
"obszar leśny","nie dotyczy"
"odnoga jeziora","nie dotyczy"
"odnoga","nie dotyczy"
"odnoga rzeki","nie dotyczy"
"odnośniki","nie dotyczy"
"odnośnik","nie dotyczy"
"odsyłacz","nie dotyczy"
"ogrody","nie dotyczy"
"okolica","Okolica"
"okolica prywatna","Okolica prywatna"
"okolica szlachecka","Okolica szlachecka"
"okolica włościańska","nieokreślony"
"okolice","Okolica"
"okolicę szlachecką","Okolica szlachecka"
"okolice szlacheckie","Okolica szlachecka"
"okręg wiejski","Okręg wiejski"
"olędry","Olędry (Holendry, Holędry)"
"opactwo","nieokreślony"
"osada fabryczna","Osada fabryczna"
"osada górnicza","Osada górnicza"
"osada górska","Osada górska"
"osada hutnicza","Osada hutnicza"
"osada karczemna","Osada karczemna"
"osada leśna","Osada leśna"
"osada miejska","Osada miejska"
"osada młyńska (lub młynarska)","Osada młyńska: rządowa"
"osada młyńska","Osada młyńska: rządowa"
"osada ogrodnicza","nieokreślony"
"osada","Osada"
"osada pałacowa","nieokreślony"
"osada pojedyncza","Osada pojedyncza"
"osada poleśna","nieokreślony"
